,title,subtitle,link
12,PEP TALK,"Liverpool will be even BETTER with Nunez replacing Mane, warns Pepe Reina",https://www.thesun.co.uk/sport/football/19433088/liverpool-darwin-nunez-sadio-mane-pepe-reina-transfer/
13,KICK IN THE LEG,Leicester suffer huge blow as Ricardo Pereira ruled out for SIX MONTHS,https://www.thesun.co.uk/sport/19429842/leicester-pereira-injury-setback-ruptured-achilles/
14,HOT AND BOTHERED,Klopp compares fixture woe to climate crisis as stars face 76-game season,https://www.thesun.co.uk/sport/19434264/jurgen-klopp-liverpool-fixtures-climate-change/
15,LEFT HIS MARC,Chelsea complete £62m Marc Cucurella transfer and make dig at Brighton,https://www.thesun.co.uk/sport/football/19427658/chelsea-marc-cucurella-transfer-brighton/
16,BOY TO MAN,Shaun Goater talks Haaland running around the Man City creche to becoming star,https://www.thesun.co.uk/sport/football/19428884/shaun-goater-man-city-erling-haaland/
17,MARC 2,Joe Wicks in stitches as fans spot uncanny resemblance to Chelsea signing Cucurella,https://www.thesun.co.uk/sport/football/19432865/cucurella-joe-wicks-chelsea-body-double-twitter/
18,ON YOUR MARC,Chelsea stars ‘say goodbye to Alonso’ with defender to seal Barcelona transfer,https://www.thesun.co.uk/sport/football/19435007/chelsea-marcos-alonso-barcelona-transfer-cucurella/
19,EAGLE FLOWN,Man Utd legend Wayne Rooney signs Benteke for DC United from Crystal Palace,https://www.thesun.co.uk/sport/19432219/manchester-united-wayne-rooney-christian-benteke-crystal-palace/
20,ALL ABOUT DAD,Arsenal fans go wild for Aaron Ramsdale's dad during All or Nothing doc,https://www.thesun.co.uk/sport/football/19426874/aaron-ramsdale-dad-arsenal-all-or-nothing/
21,BLUE DEAL,Chelsea ‘join Barcelona and Real Madrid in transfer race for wonderkid Endrick,https://www.thesun.co.uk/sport/football/19425141/chelsea-transfer-race-endrick-real-madrid-barcelona/
22,LEW WHO?,Watch Mane score on Bundesliga debut as Bayern forget Lewandowski exit in mauling,https://www.thesun.co.uk/sport/19433856/sadio-mane-bayern-munich-robert-lewandowski-eintracht-frankfurt/
23,KAL OUT DUTY,Leeds target PSG's Arnaud Kalimuendo so Patrick Bamford has competition,https://www.thesun.co.uk/sport/19431011/leeds-arnaud-kalimuendo-transfer-psg-bamford/
24,JUSTIN TIME,Fulham 'in Kluivert transfer talks' after star excluded from Roma training camp,https://www.thesun.co.uk/sport/football/19427200/fulham-kluivert-transfer-talks-roma/
25,PEP TALK,Pep Guardiola hints at new Man City contract but fears Bernardo Silva may quit,https://www.thesun.co.uk/sport/19430437/pep-guardiola-man-city-contract-bernardo-silva-transfer/
26,HAMMER BLOW,West Ham boss David Moyes admits he was stunned Jesse Lingard snubbed Hammers,https://www.thesun.co.uk/sport/football/19434830/west-ham-david-moyes-jesse-lingard-transfer-snub/
27,NO EASY GAMES?,Which fixtures should Dream Team gaffers target in August?,https://www.thesun.co.uk/dream-team/fantasy-football/19419737/easy-fixtures-target-fantasy-football-premier-league-favourable/
28,VARD TO UNDERSTAND,Nearly ALL Dream Team gaffers are ignoring one of game's best strikers,https://www.thesun.co.uk/dream-team/fantasy-football/19426089/jamie-vardy-leicester-fantasy-football-premier-league-differentials/
29,CHEAP AS CHIPS,5 bargain midfielders capable of mixing it with Dream Team's big boys,https://www.thesun.co.uk/dream-team/fantasy-football/19416387/cheap-midfielders-sancho-fantasy-football-premier-league-bargain/
30,BRIGHT AND EARLY,How Man Utd could line up against Brighton with Cristiano Ronaldo dilemma,https://www.thesun.co.uk/sport/football/19424885/man-utd-brighton-line-up-ronaldo/
31,GET RON GONE,"Man Utd MUST let Cristiano Ronaldo quit this transfer window, says Paul Parker",https://www.thesun.co.uk/sport/football/19424401/man-utd-cristiano-ronaldo-transfer-paul-parker/
32,IN THE RON,Neville 'disappointed' in Ronaldo as legend slams 'unpalatable' transfer saga,https://www.thesun.co.uk/sport/19434186/man-utd-gary-neville-slams-cristiano-ronaldo/
33,WHAT'S THE SCORE,Fans say same thing about Sky Sports' new scoreboard for Palace v Arsenal,https://www.thesun.co.uk/sport/19432852/sky-sports-scoreboard-premier-league-crystal-palace-arsenal/
34,RATINGS,Saliba best player on pitch as he finally makes debut as new boy Zinchenko shines,https://www.thesun.co.uk/sport/19433427/arsenal-player-ratings-saliba-zinchenko-crystal-palace/
35,VERDICT,Arteta can take Gunners to next level as Jesus and Zinchenko show winning mentality,https://www.thesun.co.uk/sport/football/19432266/crystal-palace-0-2-arsenal-verdict-martinelli-guehi/
36,'YOUNG RIO FERDINAND',Neville waxes lyrical about Saliba as Carra praises 'real deal' debut,https://www.thesun.co.uk/sport/football/19433833/arsenal-william-saliba-praise-crystal-palace/
37,HANDS DOWN,Fans and Man Utd icon Ferdinand react to Arsenal ace Gabriel's handball v Palace,https://www.thesun.co.uk/sport/19433152/manchester-united-rio-ferdinand-arsenal-gabriel-crystal-palace/
38,SKY HIGH,Neville and Carragher neck shots as Sky Sports have huge pre-season party,https://www.thesun.co.uk/sport/football/19428087/gary-neville-jamie-carragher-sky-sports-party/
39,BLUE BLOW,Chelsea drop HUGE transfer hint after SIX stars are not given squad numbers,https://www.thesun.co.uk/sport/football/19424219/chelsea-drop-transfer-hint-squad-numbers-six-stars/
40,J-TEASE,Chelsea icon Terry HUNG UP on first Koulibaly call as he thought it was PRANK,https://www.thesun.co.uk/sport/football/19430807/chelsea-terry-kalidou-koulibaly-phone-call-prank-fear/
41,'WATER IS WET',Fans all say the same thing after Xhaka given first yellow card of new term,https://www.thesun.co.uk/sport/football/19433288/asenal-granit-xhaka-yellow-card-diving/
42,WRECK-QUIT RALPH,Hasenhuttl hints at quitting in two years to avoid being another Hodgson,https://www.thesun.co.uk/sport/17583690/ralph-hasenhuttl-southampton-roy-hodgson-quit/
43,TUCHY SUBJECT,Tuchel the MOANIEST manager in Prem ahead of Arteta with Klopp only 12th,https://www.thesun.co.uk/sport/football/19431298/chelsea-thomas-tuchel-moans-manager-arsenal-arteta-klopp/
44,WELL I NEV-ER,Neville predicts sixth for Man Utd and says top four would be ‘outstanding’,https://www.thesun.co.uk/sport/football/19434913/gary-neville-man-utd-champions-league-ten-hag/
45,MATT'S ALL FOLKS,Chelsea outcast Miazga joins Cincinatti after TWO appearances in six years,https://www.thesun.co.uk/sport/football/19426429/chelsea-miazga-cincinnati-transfer/
46,KNOW THE SCORE,Spurs man Allen hit 49 goals one season - but which Prem ace could beat it?,https://www.thesun.co.uk/sport/football/19430157/tottenham-clive-allen-record-goals-haaland-kane-nunez-ronaldo/
47,YELLOW PROBE,Xhaka embroiled in investigation over Leeds booking 'involving Albanian MAFIA',https://www.thesun.co.uk/sport/19425181/granit-xhaka-arsenal-suspicious-booking-leeds-albanian-mafia/
48,BRING THE PARTY,Get 100% deposit bonus up to £400 & £40 FREE PLAY with Party Poker,https://www.thesun.co.uk/sport/betting-tips/19283142/party-poker-new-customer-offer-deposit-bonus/
49,RACING DEAL,Horse racing - FREE BETS: Get £30 bonus with Betfair today - 18+ T&Cs apply,https://www.thesun.co.uk/sport/horseracing/18796015/betfair-free-bets-horse-racing-betting-offers-uk-bonus/
50,BET BOOST,"Get £30 in FREE BETS on Chelsea, Liverpool or Spurs fixtures with William Hill",https://www.thesun.co.uk/sport/betting-tips/15950527/william-hill-free-bets-code-football-chelsea-tottenham-liverpool/
