,title,subtitle,link
22,LEW WHO?,Watch Mane score on Bundesliga debut as Bayern forget Lewandowski exit in mauling,https://www.thesun.co.uk/sport/19433856/sadio-mane-bayern-munich-robert-lewandowski-eintracht-frankfurt/
23,KAL OUT DUTY,Leeds target PSG's Arnaud Kalimuendo so Patrick Bamford has competition,https://www.thesun.co.uk/sport/19431011/leeds-arnaud-kalimuendo-transfer-psg-bamford/
24,JUSTIN TIME,Fulham 'in Kluivert transfer talks' after star excluded from Roma training camp,https://www.thesun.co.uk/sport/football/19427200/fulham-kluivert-transfer-talks-roma/
25,EAGLE FLOWN,Man Utd legend Wayne Rooney signs Benteke for DC United from Crystal Palace,https://www.thesun.co.uk/sport/19432219/manchester-united-wayne-rooney-christian-benteke-crystal-palace/
26,HAMMER BLOW,West Ham boss David Moyes admits he was stunned Jesse Lingard snubbed Hammers,https://www.thesun.co.uk/sport/football/19434830/west-ham-david-moyes-jesse-lingard-transfer-snub/
27,NO EASY GAMES?,Which fixtures should Dream Team gaffers target in August?,https://www.thesun.co.uk/dream-team/fantasy-football/19419737/easy-fixtures-target-fantasy-football-premier-league-favourable/
28,VARD TO UNDERSTAND,Nearly ALL Dream Team gaffers are ignoring one of game's best strikers,https://www.thesun.co.uk/dream-team/fantasy-football/19426089/jamie-vardy-leicester-fantasy-football-premier-league-differentials/
29,CHEAP AS CHIPS,5 bargain midfielders capable of mixing it with Dream Team's big boys,https://www.thesun.co.uk/dream-team/fantasy-football/19416387/cheap-midfielders-sancho-fantasy-football-premier-league-bargain/
30,BRIGHT AND EARLY,How Man Utd could line up against Brighton with Cristiano Ronaldo dilemma,https://www.thesun.co.uk/sport/football/19424885/man-utd-brighton-line-up-ronaldo/
31,GET RON GONE,"Man Utd MUST let Cristiano Ronaldo quit this transfer window, says Paul Parker",https://www.thesun.co.uk/sport/football/19424401/man-utd-cristiano-ronaldo-transfer-paul-parker/
32,IN THE RON,Neville 'disappointed' in Ronaldo as legend slams 'unpalatable' transfer saga,https://www.thesun.co.uk/sport/19434186/man-utd-gary-neville-slams-cristiano-ronaldo/
33,WHAT'S THE SCORE,Fans say same thing about Sky Sports' new scoreboard for Palace v Arsenal,https://www.thesun.co.uk/sport/19432852/sky-sports-scoreboard-premier-league-crystal-palace-arsenal/
34,RATINGS,Saliba best player on pitch as he finally makes debut as new boy Zinchenko shines,https://www.thesun.co.uk/sport/19433427/arsenal-player-ratings-saliba-zinchenko-crystal-palace/
35,VERDICT,Arteta can take Gunners to next level as Jesus and Zinchenko show winning mentality,https://www.thesun.co.uk/sport/football/19432266/crystal-palace-0-2-arsenal-verdict-martinelli-guehi/
36,'YOUNG RIO FERDINAND',Neville waxes lyrical about Saliba as Carra praises 'real deal' debut,https://www.thesun.co.uk/sport/football/19433833/arsenal-william-saliba-praise-crystal-palace/
